City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Sao Filipe,CV,76.91,clear sky,14.8961,-24.4956,Hotel Xaguate
119,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
122,Mancio Lima,BR,82.62,moderate rain,-7.6142,-72.8958,Motel Asas Do Desejo
123,Camocim,BR,79.43,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
134,Puerto Rico,AR,75.58,overcast clouds,-26.796,-55.024,Hotel Cabañas del Prado
138,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
143,Morros,BR,80.04,scattered clouds,-9.4467,-46.3003,
147,Curillo,CO,76.17,overcast clouds,1.0333,-75.9191,CASA CLUB
150,Tautira,PF,76.12,light rain,-17.7333,-149.15,Pension Oaoa
151,Ahuimanu,US,80.78,light rain,21.4447,-157.8378,Paradise Bay Resort
152,Fernandopolis,BR,76.42,overcast clouds,-20.2839,-50.2464,Ramada Encore by Wyndham Fernandopolis
154,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
161,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
162,Thinadhoo,MV,81.23,overcast clouds,0.5333,72.9333,
163,Sorong,ID,81.18,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
164,Acajutla,SV,80.87,scattered clouds,13.5928,-89.8275,CASA DE LA PERRA
167,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
171,Kieta,PG,81.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
177,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
185,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
186,Kirakira,SB,83.41,light rain,-10.4544,161.9205,SanBiz Lodge
188,Gusau,NG,75.33,clear sky,12.1628,6.6614,GUEST INN
191,Roebourne,AU,79.23,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
199,Ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
206,Kalmunai,LK,75.45,moderate rain,7.4167,81.8167,VS Villa
209,Carutapera,BR,78.46,broken clouds,-1.195,-46.02,Lidera
213,Pemangkat,ID,76.62,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
214,Caravelas,BR,75.97,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
219,Daru,PG,83.55,broken clouds,-9.0763,143.2092,Daru Lodge
221,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
225,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
228,Yarada,IN,75.54,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
230,Merauke,ID,81.81,overcast clouds,-8.4667,140.3333,
232,La Cruz,MX,75.97,clear sky,23.9167,-106.9,Jesús angel
234,Sokoni,TZ,78.15,clear sky,-6.4333,39.55,Ujamaa Beach Resort
243,Ribas Do Rio Pardo,BR,75.16,few clouds,-20.4431,-53.7592,Pousada Avenida
245,Mitsamiouli,KM,76.68,clear sky,-11.3847,43.2844,Foyer ADM
248,Bandarbeyla,SO,78.01,clear sky,9.4942,50.8122,JABIR HOTEL
251,Sinnamary,GF,78.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
258,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
259,Panama City,PA,82.29,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
261,Amapa,BR,75.58,heavy intensity rain,1.0,-52.0,
266,Hirara,JP,79.18,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
268,Sibolga,ID,75.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
276,Sao Joao Da Barra,BR,75.29,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
277,Angoche,MZ,75.67,clear sky,-16.2325,39.9086,Guest House HESADA
286,Barra,BR,78.26,broken clouds,-11.0894,-43.1417,Pousada Bahia
287,Luwuk,ID,81.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
290,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
292,Samarai,PG,82.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
294,Santo Domingo,DO,79.03,broken clouds,18.5001,-69.9886,Cabañas City Heart
295,Am Timan,TD,76.3,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
297,Mazatlan,MX,78.76,clear sky,23.2167,-106.4167,Hotel La Siesta
312,Honiara,SB,83.79,overcast clouds,-9.4333,159.95,Heritage Park Hotel
315,Puerto Quijarro,BO,87.12,broken clouds,-17.7833,-57.7667,Hotel palance
317,Takoradi,GH,77.61,moderate rain,4.8845,-1.7554,Raybow International Hotel
319,Kishi,NG,78.8,scattered clouds,9.0833,3.85,New NCCF KISI
320,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
324,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
332,Sitio Novo Do Tocantins,BR,77.14,heavy intensity rain,-5.5183,-47.4611,Imperial Hotel
336,Palauig,PH,81.05,clear sky,15.435,119.9045,Villa Raphael Resort
337,Nelson Bay,AU,78.1,light rain,-32.7167,152.15,Mantra Nelson Bay
339,Faanui,PF,76.69,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Ugoofaaru,MV,80.73,overcast clouds,5.6667,73.0,Ungoofaaru Inn
348,Iralaya,HN,80.8,clear sky,15.0,-83.2333,Iglesia morava renovada
355,Harper,LR,77.7,light rain,4.375,-7.7169,Screensaver
359,Guajara,BR,86.56,overcast clouds,-2.9667,-57.6667,
360,Robertsport,LR,79.83,broken clouds,6.7533,-11.3686,Kwepunha Retreat
362,Micheweni,TZ,77.25,scattered clouds,-4.9667,39.8333,
366,Taoudenni,ML,76.26,clear sky,22.6783,-3.9836,
371,Sabang,ID,78.31,moderate rain,5.8933,95.3214,Hotel Citra
372,Loreto,MX,75.18,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
