City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Smithers,CA,54.7804,-127.1743,30.34,89,100,0.56,overcast clouds
225,Yeppoon,AU,-23.1333,150.7333,78.58,63,1,10.36,clear sky
226,Taveta,KE,-3.3963,37.6736,70.07,84,96,4.59,overcast clouds
227,Vilcun,CL,-38.65,-72.2333,50.74,95,93,3.87,overcast clouds
228,Yarada,IN,17.65,83.2667,75.54,72,27,9.66,scattered clouds
229,Menongue,AO,-14.6585,17.691,67.35,35,98,4.92,overcast clouds
230,Merauke,ID,-8.4667,140.3333,81.81,76,99,10.78,overcast clouds
231,Chivilcoy,AR,-34.8957,-60.0167,69.44,71,100,12.44,overcast clouds
232,La Cruz,MX,23.9167,-106.9,75.97,64,1,8.25,clear sky
233,Bud,US,39.447,-86.1758,32.68,89,100,9.24,overcast clouds
234,Sokoni,TZ,-6.4333,39.55,78.15,82,10,9.22,clear sky
235,Leshukonskoye,RU,64.8989,45.7622,32.86,98,100,7.0,light snow
236,Cherskiy,RU,68.75,161.3,-14.17,96,100,8.79,overcast clouds
237,Sindhnur,IN,15.7833,76.7667,69.58,84,44,5.82,scattered clouds
238,Leningradskiy,RU,69.3833,178.4167,4.77,84,93,4.03,overcast clouds
239,Souillac,MU,-20.5167,57.5167,70.23,74,0,5.28,clear sky
240,Vila,PT,42.0304,-8.1588,49.08,92,94,3.89,overcast clouds
241,Deputatskiy,RU,69.3,139.9,-23.64,100,79,2.93,broken clouds
242,Wattegama,LK,6.7989,81.4808,72.73,95,100,2.55,light rain
243,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,75.16,66,23,8.57,few clouds
244,Muisne,EC,0.6,-80.0333,74.53,78,100,7.72,overcast clouds
245,Mitsamiouli,KM,-11.3847,43.2844,76.68,79,0,6.49,clear sky
246,Kodiak,US,57.79,-152.4072,45.91,66,0,8.05,clear sky
247,Vyartsilya,RU,62.1764,30.693,44.62,100,70,16.49,broken clouds
248,Bandarbeyla,SO,9.4942,50.8122,78.01,74,10,14.92,clear sky
249,Amga,RU,60.8953,131.9608,19.65,95,100,9.22,light snow
250,Chicama,PE,-7.8447,-79.1469,61.34,75,31,7.65,scattered clouds
251,Sinnamary,GF,5.3833,-52.95,78.87,85,100,7.23,overcast clouds
252,Roma,US,43.2128,-75.4557,49.37,77,100,6.91,moderate rain
253,Guerrero Negro,MX,27.9769,-114.0611,68.16,41,72,12.01,broken clouds
254,Copiapo,CL,-27.3667,-70.3333,58.69,53,100,6.11,overcast clouds
255,Lebu,CL,-37.6167,-73.65,56.75,76,35,10.09,scattered clouds
256,Sept-Iles,CA,50.2001,-66.3821,27.05,82,100,1.99,overcast clouds
257,Carnarvon,AU,-24.8667,113.6333,63.88,48,0,20.76,clear sky
258,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds
259,Panama City,PA,8.9936,-79.5197,82.29,88,75,5.75,broken clouds
260,Suntar,RU,62.1444,117.6319,7.52,83,89,11.03,overcast clouds
261,Amapa,BR,1.0,-52.0,75.58,80,72,2.59,heavy intensity rain
262,Upington,ZA,-28.4478,21.2561,63.77,41,0,17.83,clear sky
263,Fairbanks,US,64.8378,-147.7164,35.94,84,0,5.75,clear sky
264,Constitucion,CL,-35.3333,-72.4167,55.98,81,37,7.31,scattered clouds
265,Beyneu,KZ,45.3167,55.2,39.65,64,49,12.15,scattered clouds
266,Hirara,JP,24.8,125.2833,79.18,84,8,4.41,clear sky
267,Najran,SA,17.4924,44.1277,61.07,41,0,1.05,clear sky
268,Sibolga,ID,1.7427,98.7792,75.06,95,100,0.96,overcast clouds
269,Conde,BR,-7.2597,-34.9075,74.66,100,100,3.44,overcast clouds
270,Kisangani,CD,0.5167,25.2,67.6,99,69,1.72,light rain
271,Babushkin,RU,51.7122,105.8647,23.81,72,27,5.32,scattered clouds
272,Yibin,CN,28.7667,104.6238,55.76,74,100,0.94,overcast clouds
273,Cirie,IT,45.2351,7.5988,57.45,94,89,4.61,fog
274,Luanda,AO,-8.8368,13.2343,74.86,74,75,7.87,broken clouds
275,Kasulu,TZ,-4.5767,30.1025,63.07,93,100,2.66,light rain
276,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,90,41,18.41,heavy intensity rain
277,Angoche,MZ,-16.2325,39.9086,75.67,89,0,2.95,clear sky
278,Geraldton,AU,-28.7667,114.6,52.21,82,0,8.05,clear sky
279,Freeport,US,40.6576,-73.5832,67.24,73,0,9.22,clear sky
280,Verkhnya Syrovatka,UA,50.829,34.9586,48.42,86,84,14.2,broken clouds
281,Kargil,IN,34.5667,76.1,20.05,51,9,3.71,clear sky
282,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,71,96,11.65,overcast clouds
283,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,87,100,6.91,overcast clouds
284,Svetlaya,RU,46.5389,138.3297,32.58,97,100,22.26,snow
285,Iki-Burul,RU,45.8208,44.6472,42.8,77,25,19.04,scattered clouds
286,Barra,BR,-11.0894,-43.1417,78.26,67,58,5.3,broken clouds
287,Luwuk,ID,-0.9516,122.7875,81.27,78,100,0.69,overcast clouds
288,Kaoma,ZM,-14.7833,24.8,65.43,95,100,2.86,light rain
289,Malakal,SS,9.5334,31.6605,73.9,29,27,2.08,scattered clouds
290,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,6.91,scattered clouds
291,Zatoka,UA,46.0725,30.4654,50.31,78,21,9.19,few clouds
292,Samarai,PG,-10.6167,150.6667,82.18,72,99,12.82,overcast clouds
293,Tiksi,RU,71.6872,128.8694,-17.21,100,97,3.87,overcast clouds
294,Santo Domingo,DO,18.5001,-69.9886,79.03,93,75,3.0,broken clouds
295,Am Timan,TD,11.0297,20.2827,76.3,30,0,3.96,clear sky
296,Edirne,TR,41.6772,26.556,49.8,83,92,7.25,overcast clouds
297,Mazatlan,MX,23.2167,-106.4167,78.76,78,0,9.22,clear sky
298,Bismarck,US,46.8083,-100.7837,3.65,81,75,6.91,mist
299,Joshimath,IN,30.5667,79.5667,43.47,26,1,6.98,clear sky
300,Neuquen,AR,-38.9516,-68.0591,57.09,94,75,0.0,broken clouds
301,Marystown,CA,47.1666,-55.1483,51.85,100,100,3.0,overcast clouds
302,Jiaonan,CN,35.8786,119.9753,43.47,64,58,17.56,broken clouds
303,Mikhaylovka,RU,50.06,43.2379,48.78,84,100,22.91,overcast clouds
304,Methoni,GR,36.8197,21.7049,59.22,74,100,20.15,overcast clouds
305,Lixourion,GR,38.2019,20.4314,59.52,85,100,13.85,overcast clouds
306,Kermanshah,IR,34.3142,47.065,47.64,73,3,2.19,clear sky
307,Aykhal,RU,66.0,111.5,-17.79,98,99,17.85,overcast clouds
308,Nome,US,64.5011,-165.4064,24.87,63,0,4.61,clear sky
309,Charleston,US,32.7766,-79.9309,72.21,89,0,9.22,clear sky
310,The Pas,CA,53.8251,-101.2541,14.02,79,20,11.5,few clouds
311,Luderitz,NA,-26.6481,15.1594,57.79,88,0,9.42,clear sky
312,Honiara,SB,-9.4333,159.95,83.79,72,99,2.95,overcast clouds
313,Pervomayskoye,RU,43.919,46.7102,46.29,68,72,9.37,broken clouds
314,Golden,US,39.7555,-105.2211,47.43,31,40,8.05,scattered clouds
315,Puerto Quijarro,BO,-17.7833,-57.7667,87.12,44,83,3.67,broken clouds
316,Homer,US,59.6425,-151.5483,43.03,82,100,4.0,overcast clouds
317,Takoradi,GH,4.8845,-1.7554,77.61,86,53,6.42,moderate rain
318,Kapit,MY,2.0167,112.9333,73.29,96,88,0.69,overcast clouds
